relation,x_type,y_type,x_id,y_id,uid,x_preferred_name,y_preferred_name,x_preferred_name_score,y_preferred_name_score
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:1249,:40400011:8cxiHTfHEbuMJ5cudTfhtn,duchenne muscular dystrophy,intellectual disability,1000.0,1000.0
indication,drug,disease,kg4rd:11921,kg4rd:10679,:40376903:nqN2AoM7UDxpPnHduwPPzq,deflazacort,duchenne muscular dystrophy,1000.0,1000.0
indication,drug,disease,kg4rd:5016,kg4rd:10679,:40376903:SCkpXn5pbKYTpaGCYkTEsd,ataluren,duchenne muscular dystrophy,1000.0,1000.0
anatomy_protein_present,anatomy,gene/protein,kg4rd:15230,kg4rd:1756,:40368879:KSNJHm4UB6yne29TsVe6b2,dorsal vessel heart,dmd,1000.0,1000.0
indication,drug,disease,kg4rd:16802,kg4rd:10679,:40367405:n48sTyATjGe6j6pfuKMfwK,delandistrogene moxeparvovec,duchenne muscular dystrophy,1000.0,1000.0
drug_effect,drug,effect/phenotype,kg4rd:16802,kg4rd:12819,:40367405:6L4wBtKgG68rYJymvkua3e,delandistrogene moxeparvovec,myocarditis,1000.0,1000.0
drug_effect,drug,effect/phenotype,kg4rd:16802,kg4rd:1873,:40367405:jxwjhijjmcPcmjDkeq6h4Y,delandistrogene moxeparvovec,thrombocytopenia,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:1431,:40366239:52d5FmoktMw9P8H9yRsyEL,duchenne muscular dystrophy,cs,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:10891,:40366239:dTjYpXozNLKxTktedAVDPh,duchenne muscular dystrophy,ppargc1a,1000.0,89.20863309352518
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:4712,:40366239:BDQxqeCKBX66n73PbycL4o,duchenne muscular dystrophy,ndufb6,1000.0,86.31578947368422
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:9067,:40361216:dwbREDNqmUjZWqsbhUKxn2,duchenne muscular dystrophy,progressive spinal muscular atrophy,1000.0,88.13559322033898
