relation,x_type,y_type,x_id,y_id,uid,x_preferred_name,y_preferred_name,x_preferred_name_score,y_preferred_name_score
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:1249,:40400011:8cxiHTfHEbuMJ5cudTfhtn,duchenne muscular dystrophy,intellectual disability,1000.0,1000.0
anatomy_protein_present,anatomy,gene/protein,kg4rd:15230,kg4rd:1756,:40368879:KSNJHm4UB6yne29TsVe6b2,dorsal vessel heart,dmd,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:1431,:40366239:52d5FmoktMw9P8H9yRsyEL,duchenne muscular dystrophy,cs,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:9780,:40361216:QW9DbX3U4yc8iP2ugNLKfx,duchenne muscular dystrophy,piezo1,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:3287,:40359883:JrogmgpD3XR4BMnqfQWogW,duchenne muscular dystrophy,abnormality of mitochondrial metabolism,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:1644,:40203679:B6c2NfrbmQUEti6oQYc5vk,duchenne muscular dystrophy,dilated cardiomyopathy,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:23411,:40195304:gE7Xu5hLF966xvk6Ez4Xmj,duchenne muscular dystrophy,sirt1,1000.0,1000.0
disease_disease,disease,disease,kg4rd:10679,kg4rd:19056,:40167615:V2iACj39w4LjcSTisUMBDn,duchenne muscular dystrophy,neuromuscular disease,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:25406,:40102886:j8eaWLaoCwaR2nnDMmNK9c,duchenne muscular dystrophy,asthenia,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:19079,kg4rd:25406,:40102886:HuLBma2F6Y754Vs6sNmdE9,proximal spinal muscular atrophy,asthenia,1000.0,1000.0
disease_disease,disease,disease,kg4rd:10679,kg4rd:15667,:40101139:idXW6bW58MwJtfJwmt3ijV,duchenne muscular dystrophy,acute myeloid leukemia,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:3678,:40051007:7XFY2N4yS5TSkAfCWSiuyg,duchenne muscular dystrophy,rapidly progressive,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:16147,kg4rd:7340,:40051007:DN2GavR7Bef6bTxXKoLddy,qualitative or quantitative defects of dystrophin,lower limb muscle weakness,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:5336,kg4rd:3236,:40051007:TPghwo9TViwh4Egja3WN7H,myopathy,elevated circulating creatine kinase concentration,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:1685,:40008976:gQBGVzVrQYni4s2BQkeLEe,duchenne muscular dystrophy,myocardial fibrosis,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:2650,:39945205:dRAsbDzqtFh9vibjko8nMA,duchenne muscular dystrophy,scoliosis,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:7402,:39939773:V3LbftQCzrEjTDiNm4CLhz,duchenne muscular dystrophy,utrn,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:14893,kg4rd:1457,:39915227:EvH3deJ2QVqJtQp43rxNMt,okur-chung neurodevelopmental syndrome,csnk2a1,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:6000023,:39894866:NwKwwqg8RoDtHyRgYDv7uM,duchenne muscular dystrophy,lack of sufficient daily physical activity,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:3676,:39889824:mJMtxFuQMptZFubfpsUa6Z,duchenne muscular dystrophy,progressive,1000.0,1000.0
