relation,x_index,y_index,uid
disease_phenotype_positive,40189,27374,:40400011:8cxiHTfHEbuMJ5cudTfhtn
disease_protein,40189,7812,:40366239:52d5FmoktMw9P8H9yRsyEL
disease_protein,40189,4785,:40361216:QW9DbX3U4yc8iP2ugNLKfx
disease_phenotype_positive,40189,28022,:40359883:JrogmgpD3XR4BMnqfQWogW
disease_protein,40189,290,:40195304:gE7Xu5hLF966xvk6Ez4Xmj
disease_disease,40189,47556,:40167615:V2iACj39w4LjcSTisUMBDn
disease_phenotype_positive,40189,78992,:40102886:j8eaWLaoCwaR2nnDMmNK9c
disease_phenotype_positive,41081,78992,:40102886:HuLBma2F6Y754Vs6sNmdE9
disease_disease,40189,48957,:40101139:idXW6bW58MwJtfJwmt3ijV
disease_phenotype_positive,40189,73687,:40051007:7XFY2N4yS5TSkAfCWSiuyg
disease_phenotype_positive,49943,29377,:40051007:DN2GavR7Bef6bTxXKoLddy
disease_phenotype_positive,47355,29221,:40051007:TPghwo9TViwh4Egja3WN7H
disease_phenotype_positive,40189,31032,:40008976:gQBGVzVrQYni4s2BQkeLEe
disease_protein,40189,9315,:39939773:V3LbftQCzrEjTDiNm4CLhz
disease_protein,38181,439,:39915227:EvH3deJ2QVqJtQp43rxNMt
disease_phenotype_positive,40189,84442,:39894866:NwKwwqg8RoDtHyRgYDv7uM
disease_phenotype_positive,40189,28258,:39889824:mJMtxFuQMptZFubfpsUa6Z
bioprocess_protein,53189,11438,:39889824:Vcd9N4B8RHXLsvbNkEFCnt
bioprocess_protein,59612,8712,:39865125:3Pkh3jbtktihyka4a8a98z
disease_phenotype_positive,40189,79022,:39806512:KYgvPQ5NjGeJpFWCshq2kn
disease_phenotype_positive,40189,27195,:39792921:mYo3Juk69pDcwiXtEjPD4H
disease_phenotype_positive,40189,27763,:39792584:MVBp9JQ7DvHaAXdH4i3HrF
disease_phenotype_positive,49943,27148,:39719374:4MSSeN5cnEamZQenv9jJZ5
disease_protein,40189,3786,:39702274:n6UTkR8UhXr4Y4YbR4Jfjy
disease_phenotype_positive,40189,27185,:39669499:5bhD4KB8URT3D69ZJ3rkRy
disease_phenotype_positive,40189,27910,:39648958:7Z8ZdSakG5Eehi4shmeeuR
disease_phenotype_positive,40189,27861,:39630734:FyrbtC7xNZwwSgdRCumb6k
disease_phenotype_positive,38894,28291,:39621041:4kueP7cyYR3oB466eKceL2
phenotype_protein,28260,9016,:39595988:ZaYrLNrJ5E3EXNoVWxbzYT
disease_disease,38894,49943,:39561886:VAhyfJ4KeusPWRR7iLxnib
disease_disease,40189,49943,:39561886:WpUVHqCoo8Mc4XpJT3xL8M
disease_disease,40189,42878,:39534979:DeexuY93gN7eoNLQVocXHf
disease_disease,40189,34338,:39531786:f5T76BgQYqqxWytAikb6sk
disease_phenotype_positive,40189,73904,:39531786:e7pAxCrMQuwWAvEopD6dnN
phenotype_phenotype,73070,27527,:39503119:2DHwpLhG3EeEWnxf8wN4YX
disease_phenotype_positive,38894,28976,:39499670:nGeKckQ5mPw5XbYiGuzj4b
disease_phenotype_positive,38894,30445,:39499670:3WYW8ycEBVgYCoujRqhSHQ
disease_protein,40189,2737,:39477543:WW66Qpm4Uj2GkHBg3dTrNc
disease_protein,40189,12109,:39390091:CRjpxpvYZiyBvMXveSCjpn
disease_protein,40189,8920,:39390091:4V5xYukBARmur7weWyaB9S
disease_protein,40189,1481,:39390091:DjJexaoWz8xWhuut66u2Aa
disease_phenotype_positive,40189,27705,:39362116:8UePaQSwb4s6k6Svat3sPX
disease_phenotype_positive,40189,75487,:39317091:jScF39RqKVm6JuxwPX99Wk
disease_phenotype_positive,40189,26960,:39298449:mRjhTR5V3bURRxi7kRXo9C
disease_phenotype_positive,38455,27907,:39283673:h2gut4zepqcuCWugZNY3Ki
disease_phenotype_positive,38455,27195,:39283673:Eeajg5QaWiKK8kSS45rL57
disease_protein,38894,2982,:39192489:cDJbhXDzjaDNexGWRYEnAD
disease_protein,38894,83,:39192489:VesaqH2wnMiStskaGEw75H
disease_protein,38894,765,:39192489:fiRjiUruT8njkCUma9nAUq
disease_protein,40189,2815,:39159389:Fue6txyXuHpcma4D5EqPbM
disease_protein,40189,8069,:39158383:3r43d7HeBF6USQ6FWQcx4z
disease_protein,49513,1636,:39117956:FHd6rdeDGd9HQZ6VSNPQpb
disease_protein,49943,9016,:39014877:6givg6FUnhvdQpwNYCHAtk
disease_protein,40189,3222,:39014877:byujgFXbT3JXpMLi3MgYYN
disease_protein,40189,15772,:39014877:YmzPqpccrWWEoUmvPp29Lu
disease_phenotype_positive,40189,73920,:38999890:PdrXzciL4T3EUwGk6WzNzE
phenotype_protein,27970,4345,:38924558:ZusXzwCPG8cveph3LBoBdj
disease_phenotype_positive,40189,30428,:38915199:AcyUH6faNXPBKKtRj3WLk3
disease_protein,40189,349,:38867250:fLTFxY7nCYg24UgDTQor6J
disease_phenotype_positive,40189,30966,:38847487:7czb8iN9MuS7ot4r6LSqGP
disease_phenotype_positive,40189,29980,:38822858:ii5aPGEYc2ox9MrX3xRV77
disease_phenotype_positive,40189,28939,:38729626:eKDk8BchrrKg3rwUMePcDC
disease_phenotype_positive,40189,27148,:38701157:cSA8RE7GzkRAv28aDGZuMN
disease_disease,49943,47241,:38693632:ifTeudn8oYfKDaCNGbCd8h
bioprocess_protein,57691,812,:38671506:AQ24VVZTiQpvSjd4jgDYkj
bioprocess_protein,57069,812,:38671506:dXrnH4RACoBp3WmuunpXUG
disease_protein,40189,812,:38671506:Moc6LL9dgJJZtheoAMgcgx
phenotype_phenotype,28939,27989,:38658324:cMgmaU9AZiiems9gpWxstX
disease_phenotype_positive,40189,28559,:38637619:SM64sUhQ9x3YqBxjBVAAnr
disease_phenotype_positive,40189,28456,:38637619:RJzH9MASYRLBbmhPcfpx3Z
disease_disease,40189,48007,:38630313:64DymYQVwKxWvMtC6SF8EY
disease_protein,38067,11588,:38621993:CYGHsMYLNjTqB5Pq4vo2qv
disease_protein,38067,8807,:38621993:nLbecxwPzv76p2NxrVUP5S
disease_protein,38067,11561,:38621993:iwJcqJAYXKgf3p6WBzayvi
disease_protein,38067,7872,:38621993:gc5r25UUF6bCCrNhQo84bC
disease_protein,38067,15131,:38621993:6ZuKV8ovA6gd6Woj2kUbyc
disease_phenotype_positive,33185,73906,:38507466:DWW3aGK2VzJeeqD8TQh4AU
phenotype_protein,27526,9016,:38484964:Aj6R7jcdTaqAfYZCP4Tps5
disease_protein,40189,4267,:38339125:dfPE4BpQHWksDv4aLy2CcQ
disease_protein,38894,9399,:38336890:afxw3MHPY8oZW3CMcufZHs
disease_protein,38894,26305,:38336890:afxw3MHPY8oZW3CMcufZHs
disease_phenotype_positive,38894,78992,:38324931:AShJ74HjdCsEXWffmJTRzh
disease_protein,40189,12587,:38271438:9euQEMkQqoZmh6HzuDz8i6
disease_phenotype_positive,40189,73539,:38193355:6wJFX7e4zWkGC4NUvWEFa5
disease_phenotype_positive,40189,31193,:38193355:6dMuA4wvBXMASTxDgtV5yD
disease_protein,40189,13706,:38179963:fNBTpCUTPyVApfV7xWGUsb
disease_protein,40189,12088,:38179963:dEDKVZ5tkDQ6GiTjyhgroh
disease_protein,40189,5941,:38179963:Xn8d98c6vUy9kXBWNXHfbP
disease_protein,40189,16744,:38179963:8vTaya5kQ6SeVwCfJwsx2V
disease_protein,40189,10703,:38179963:39EYsMVEMNDAxuuZF7o3r9
disease_protein,40189,15029,:38179963:2rhUcnnVddqoHJ7qy3AKQb
disease_protein,40189,26727,:38179963:hMsmd8oHcvCitezFHZpiRb
disease_protein,40189,15514,:38179963:6nEFoAZcJuBJTQwwb7p5ry
disease_protein,40189,6012,:38179963:ZqEpVTmjhUi58kPDoJk6Tr
disease_protein,40189,4289,:38165583:bStxR7JUXA2AAWjZ7CFvfD
disease_protein,40189,765,:38165583:ZSRYmi6gacbt4TBithciVH
disease_protein,40189,5085,:38165583:Ajqb9pc35rhhAuyv5MHSjS
disease_protein,40189,4494,:38165583:Cc2ob9k9WcDo4nCo66tmnR
disease_protein,40189,480,:38165583:JXbyAQkAbEbYee7o8vg98z
disease_protein,40189,9166,:38165583:JP4Xnv7ZxaLBCKnaqqTCvy
disease_protein,40189,12358,:38165583:cJTxguhJMAHdDKffrjos9h
disease_protein,40189,14472,:38146684:Dk6WzDRo3nCcB6J4fbaH3U
disease_protein,38894,14472,:38146684:iFzYAkEZr2b3jpcCAup39D
disease_disease,40189,45183,:38099842:6ovLicCxpTbYxBHJzT3xky
disease_protein,40189,12042,:38078368:jcBHbecD58sVFeh8AD5TyW
disease_phenotype_positive,36823,27162,:37933889:UyvjSLKb5yDQefSVW9Cgqn
disease_phenotype_positive,36823,28213,:37933889:EWSAntKrhX353Dn5Xvxwzx
phenotype_protein,27000,26635,:37929330:5fZjuh5bpVjkiR22D39CEP
disease_phenotype_positive,40189,74305,:37740996:nLPjFVU7gPvj2hUhcyfXhW
disease_phenotype_positive,40189,27715,:37724986:TEGXmWBfcgc9zhimcievs6
disease_phenotype_positive,40189,80086,:37724986:NPZktYs6EZMp3fi6SV6yuB
disease_phenotype_positive,40189,27651,:37724986:3RSWU9eLWWvJtTFEegZNzd
disease_protein,35108,9016,:37666691:PwpWBPohBfBvWrDyRcUsGP
disease_disease,48915,47429,:37628775:CZPu6CeNmm2oJgwcrNTgeA
phenotype_protein,28976,9016,:37602688:e2rtoKVDab2NVdXcQyks2N
disease_protein,41081,11533,:37596438:Lj7HNUgog6vntwfGA8q3cF
disease_phenotype_positive,40189,73158,:37545256:NoRjDccqtq5Xx3xrXQyS47
phenotype_phenotype,29388,29387,:37334614:33qXkhRQmCz8ZEY4V3Pgau
bioprocess_protein,54482,7727,:37311604:8fxgsCuNU3j5B3pjbRhjxF
disease_protein,40189,7727,:37311604:CtUfdw7h4fH8EAU2Nd9bwr
disease_protein,41769,13825,:37091526:Knhydz3YWgCLkJmYdAXd2U
disease_protein,41769,11276,:37091526:FEinLDy8q8gktBexmVBQcF
disease_phenotype_positive,49513,27989,:37072321:2fkA4SDEJaqWE9S9QnbGSw
disease_phenotype_positive,86409,27989,:37072321:PmQE4izu49CBRszaXUQdcC
disease_phenotype_positive,41218,27989,:37072321:Yadayp3a3oWHqCs9ws6q8i
disease_phenotype_positive,33185,28591,:37072321:bo6SsjrHnVwfecP4m5Rksy
bioprocess_protein,53944,9662,:37071470:oMAuJnAS9R6L8oLnRngCnG
disease_protein,40189,9662,:37071470:SixG5kw88wyBkdBjgGETBg
disease_phenotype_positive,40189,73984,:37063046:BZtnsRXaqvJLrxRmbwjNy2
disease_phenotype_positive,40189,31735,:37063046:JcnEuhdHgdBbiU78LABA3M
disease_phenotype_positive,40189,85531,:37063046:YjapgaXNcvtrjgL9Jf9fN2
disease_protein,40189,3252,:36935420:L9hQfqsow4wh9Lu3pCCMJe
disease_protein,40189,7896,:36935420:bYP7vnCdFXJ9GmadZKd8vA
disease_protein,40189,69512,:36935420:e63bnxCatZ4dvZQXUhdiEA
disease_protein,40189,9492,:36935420:DyeKCY8ds4Uspt45rj5kxj
disease_protein,40189,68877,:36935420:FJZbgE6KxcWrbk9UJSFjn4
disease_protein,40189,12457,:36935420:mRNxjPAQ6EW4X6Zgm2oStR
disease_protein,40189,5629,:36675000:VqYe2Ttnbopw6ujTaL6g25
bioprocess_protein,54004,16133,:36609344:LDs4zLpZTE3HDW6HDfHgPm
bioprocess_protein,54004,1312,:36609344:PXuu2vqzcEd497vonAmTpm
bioprocess_protein,54004,4379,:36609344:A5dRFa37i6xdPnw6uyzctx
disease_protein,40189,3494,:36596079:cqjqvUi7QMkNMabf74qhqE
disease_protein,40189,2774,:36596079:cavZUdase8s6wYtgsMN6u3
disease_protein,40189,13053,:36596079:kRneMxkoNtfwsVbhncDm7s
disease_protein,40189,15331,:36596079:UNXxNtkbqs4bM8FKZFbY7k
disease_protein,40189,13537,:36596079:ZP2RQhzKc3D7dukez9G6GH
disease_protein,49513,2295,:36575883:7BWvpMuQJ8uDHh7aaMm5GL
disease_protein,49513,6650,:36575883:96XdgPzabxq8wFaLTqQLvW
disease_protein,49513,5920,:36575883:oTXThTEfBL7kZFKMj6zGfP
disease_protein,49513,4753,:36575883:oRGMSwfLP54uzKcMQMA8yo
disease_protein,49513,7629,:36575883:DduAuzPfEzbCk4MDQGCyQk
disease_protein,49513,12532,:36575883:9firhTtBUw9s3iGinfp64c
disease_protein,49513,7967,:36575883:4AtgCUAXnjax6mumH6oGaC
disease_protein,49513,6681,:36575883:Gn9TQPumZpL2dBKSFrshoe
disease_protein,40189,16530,:36483550:dKxQfaNbXPgmAZ4M2oDd5Z
disease_protein,40189,9605,:36483550:WuSaMuFcUFjTrmg3JgMHwq
disease_protein,40189,15384,:36483550:dPQtrrN8Ba4DY5tULh2UEC
disease_phenotype_positive,40189,79049,:36443054:AL762QkodSn962ze4y86oC
phenotype_protein,28260,10964,:36402791:fG5AxDasnfRgtpcEGfFYkf
disease_protein,40189,10964,:36402791:L2h9jRrMaDkWo3ym8oN3P4
disease_disease,40189,47528,:36322201:iYkAAy5Lk5uLWpWCbxUZKK
disease_phenotype_positive,40189,29330,:36215287:Y7iUhgamhyr3LuE9huabE2
disease_phenotype_positive,38894,29384,:36130887:MmttrSenTFBhS8M84bRZSb
disease_phenotype_positive,41976,28182,:36130887:GELTdhomZstfViKrCTmPzg
phenotype_protein,78992,9016,:36123393:TYT6fPeCxvpkd5GFVBJzwp
disease_phenotype_positive,40189,27687,:36112314:mtKPUG7zHMHGwbK32eGGJ7
disease_phenotype_positive,40189,29002,:36112314:9LPqPPGtiqLFEvbrYwewUc
disease_disease,40189,48953,:36056946:ameGF2mcnSvmADY26rMU8q
disease_phenotype_positive,40189,26892,:36012334:E6DpnVcgmWF9ssyTyxknAn
disease_protein,41081,11537,:36012138:fAwPsKQSsAUKZVHyiF9xCs
phenotype_protein,28976,12358,:36011296:iu33uRWVBMXaot7ehe9DpN
phenotype_protein,28976,10206,:36011296:EHksjQxjoBDe2zTKbgy25V
phenotype_protein,28976,5693,:36011296:2gZTLykrDWmE8MyRrZDWZ5
disease_phenotype_positive,41170,28602,:36007191:BmFHj68Pb4cBhrxvcDrXk6
disease_phenotype_positive,40189,28602,:36007191:AmbsrtzmGBaANtAvsnZDpc
disease_phenotype_positive,40189,73078,:35987773:jBPmdjFABJFEACKj88Luf7
disease_disease,49513,46189,:35973890:VsjkpN4AFeDWFjSBhhYki2
disease_disease,40189,46189,:35973890:YiHCGnLrjurJsEpsZrRtCQ
