subject,object,relation,uid,status
Duchenne muscular dystrophy,hereditary disease,Disease - Phenotype (positive),:40436778:KRkN6gHvTfnHPrnKTtWRRx,ONLY_ONE_SIDE_SYNONYM
A2G80 peptide,α-dystroglycan,Drug - Protein,:40436778:GzB4PnpkhatDB6FbJHwMeE,ONLY_ONE_SIDE_SYNONYM
muscle cell membrane,α-dystroglycan,Anatomy - Protein (present),:40436778:gxczTLVFMZMarZiwXo5GDh,ONLY_ONE_SIDE_SYNONYM
A2G80-DSG-LNPs,DMD,Drug - Disease (indication),:40436778:SzfPtkmYbeUkxcdfPYMsnR,ONLY_ONE_SIDE_SYNONYM
facioscapulohumeral muscular dystrophy (FSHD),DUX4,Disease - Protein,:40422198:Tv7uEzGC2EJi48Ur97XxJX,ONLY_ONE_SIDE_SYNONYM
skeletal muscle,DUX4,Anatomy - Protein (present),:40422198:aLJyHRoNfiopvJM8H4oD5v,ONLY_ONE_SIDE_SYNONYM
muscle biopsies from DMD patients,DUX4,Anatomy - Protein (absent),:40422198:JjBhqPwBqcAAqq92ocZtUt,TWO_SIDE_NO_SYNONYM
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:40400011:miVmCsfEGeJfK5hzFYHDhd,KG_ALREADY_EXISTS
Duchenne muscular dystrophy,severe muscle-wasting,Disease - Phenotype (positive),:40400011:FpvQBBttugqnTfAyaGxUMm,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,intellectual disability,Disease - Phenotype (positive),:40400011:8cxiHTfHEbuMJ5cudTfhtn,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,neurobehavioural comorbidities,Disease - Phenotype (positive),:40400011:AuQzQsGZcRTA68syuwh5D7,ONLY_ONE_SIDE_SYNONYM
signalling at the neuronal inhibitory and excitatory synapses,dystrophin,Biological process - Protein,:40400011:2ChLhxv945XU5JHYWiwLmo,ONLY_ONE_SIDE_SYNONYM
Duchenne Muscular Dystrophy (DMD),respiratory complications,Disease - Phenotype (positive),:40396417:GAvD6YzXC8qTtateU8VedP,ONLY_ONE_SIDE_SYNONYM
Duchenne Muscular Dystrophy (DMD),advanced respiratory failure,Disease - Phenotype (positive),:40396417:a5ioJRgwGLkcVzBFu48aws,ONLY_ONE_SIDE_SYNONYM
Duchenne Muscular Dystrophy (DMD),acute respiratory failure,Disease - Phenotype (positive),:40396417:LRg7xAg2EQSWgF6M34feXj,KG_ALREADY_EXISTS
Duchenne muscular dystrophy,X-linked recessive disorder,Disease - Phenotype (positive),:40389882:bcTRNK7YMWcoHfTfjJvniQ,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,skeletal muscle deterioration,Disease - Phenotype (positive),:40389882:TvQpBEovrgJhswTLZGQAEK,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,cardiac muscle deterioration,Disease - Phenotype (positive),:40389882:iGYPw6AepPuU3gVZbQykWS,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,Cardiomyopathy,Disease - Phenotype (positive),:40389882:Q4bZzoQw6FGEtRcXjFqAYB,KG_ALREADY_EXISTS
Duchenne cardiomyopathy,fibrosis,Disease - Phenotype (positive),:40389882:jRueZwEXxfovQ6HT7PU7L4,ONLY_ONE_SIDE_SYNONYM
Duchenne cardiomyopathy,active myocarditis,Disease - Phenotype (positive),:40389882:D6Qfh5qAFHTsr4jL5Kxdo2,TWO_SIDE_NO_SYNONYM
deflazacort,DMD,Drug - Disease (indication),:40376903:nqN2AoM7UDxpPnHduwPPzq,APPROVED
ataluren,DMD,Drug - Disease (indication),:40376903:SCkpXn5pbKYTpaGCYkTEsd,APPROVED
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:40368879:6gpNUEKLxnXWcJRgqAB3FG,KG_ALREADY_EXISTS
DG9-PMO,DMD,Drug - Disease (indication),:40368879:Z3RoESqJ9EEBrgmmVvQa4q,ONLY_ONE_SIDE_SYNONYM
heart,dystrophin,Anatomy - Protein (present),:40368879:KSNJHm4UB6yne29TsVe6b2,APPROVED(NODE_ALL_EXISTS)
delandistrogene moxeparvovec,Duchenne muscular dystrophy,Drug - Disease (indication),:40367405:n48sTyATjGe6j6pfuKMfwK,APPROVED
delandistrogene moxeparvovec,DMD,Drug - Disease (indication),:40367405:fnsMYETJAcqx6aJHFnKzmt,APPROVED
delandistrogene moxeparvovec,immune myositis,Drug - Phenotype,:40367405:n4QofGqMhgEQNbhLxWQxKZ,ONLY_ONE_SIDE_SYNONYM
delandistrogene moxeparvovec,myocarditis,Drug - Phenotype,:40367405:6L4wBtKgG68rYJymvkua3e,APPROVED
delandistrogene moxeparvovec,thrombocytopenia,Drug - Phenotype,:40367405:jxwjhijjmcPcmjDkeq6h4Y,APPROVED
delandistrogene moxeparvovec,liver toxicity,Drug - Phenotype,:40367405:Fu498ovQhCAXf3RP5ePdjs,ONLY_ONE_SIDE_SYNONYM
delandistrogene moxeparvovec,liver injury,Drug - Phenotype,:40367405:D97BHDBnMFpKLEaq5wMn8V,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,decreased fatigue resistance,Disease - Phenotype (positive),:40366239:mFVSkQdF2pWf4MShG7xbP3,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,citrate synthase,Disease - Protein,:40366239:52d5FmoktMw9P8H9yRsyEL,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,peroxisome proliferator-activated receptor γ coactivator 1 alpha (PGC-1α),Disease - Protein,:40366239:dTjYpXozNLKxTktedAVDPh,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,mitochondrial respiratory chain complex II,Disease - Protein,:40366239:BDQxqeCKBX66n73PbycL4o,APPROVED(NODE_ALL_EXISTS)
IT100,p38 mitogen-activated protein kinase (MAPK),Exposure - Protein,:40366239:QaytNnj3oJKMXHKAhUgbJv,ONLY_ONE_SIDE_SYNONYM
IT100,PGC-1α,Exposure - Protein,:40366239:XyK9HpuuAcaYUyg7HoBJr7,TWO_SIDE_NO_SYNONYM
p38 MAPK/PGC-1α-mediated increase in mitochondrial content,p38 MAPK,Biological process - Protein,:40366239:QktizT9anKq5XMwXy8nSPU,TWO_SIDE_NO_SYNONYM
p38 MAPK/PGC-1α-mediated increase in mitochondrial content,PGC-1α,Biological process - Protein,:40366239:mRbGbe9BCygqAFWdji9FFe,TWO_SIDE_NO_SYNONYM
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:40366239:W7fFacKMSLHhszumnatdzN,KG_ALREADY_EXISTS
Duchenne muscular dystrophy,progressive muscle-wasting,Disease - Phenotype (positive),:40361216:dwbREDNqmUjZWqsbhUKxn2,APPROVED(NODE_ALL_EXISTS)
DMD,PIEZO1,Disease - Protein,:40361216:QW9DbX3U4yc8iP2ugNLKfx,APPROVED(NODE_ALL_EXISTS)
GsMTx4,PIEZO1,Drug - Protein,:40361216:HUtiJmE5roY5JPDamhqu4H,ONLY_ONE_SIDE_SYNONYM
Yoda1,PIEZO1,Drug - Protein,:40361216:7m3pbrDEGCECtRnqjpe8nm,ONLY_ONE_SIDE_SYNONYM
GsMTx4,satellite cell proliferation,Exposure - Biological process,:40361216:kD2fER3HDpVhbPafZwPozz,ONLY_ONE_SIDE_SYNONYM
GsMTx4,myogenic differentiation,Exposure - Biological process,:40361216:AiGvzHgr9RF8bDdc9zBtSo,ONLY_ONE_SIDE_SYNONYM
GsMTx4,p-CaMKII/CaMKII,Exposure - Protein,:40361216:gf6p5etcb38ic77JjWz4kg,TWO_SIDE_NO_SYNONYM
GsMTx4,calcium load,Drug - Phenotype,:40361216:TqeD3Csr7hoEJmmPJy9GPD,TWO_SIDE_NO_SYNONYM
GsMTx4,myofiber damage,Drug - Phenotype,:40361216:EPTS6tDpXAHnyPDCCEhYLX,TWO_SIDE_NO_SYNONYM
Duchenne Muscular Dystrophy,Mitochondrial dysfunction,Disease - Phenotype (positive),:40359883:JrogmgpD3XR4BMnqfQWogW,APPROVED(NODE_ALL_EXISTS)
DMD,Mitochondrial score,Disease - Phenotype (positive),:40359883:LhBxgcPq9KpbyMWZ3EGfPo,ONLY_ONE_SIDE_SYNONYM
DMD,12 immune cell types,Disease - Phenotype (positive),:40359883:LHznmNTBMsYfmwDn6q2av3,ONLY_ONE_SIDE_SYNONYM
VDAC1,cell proliferation,Biological process - Protein,:40359883:8CL26fajLMy7ssweh6WYYX,NO_ID
VDAC1,apoptosis rate,Biological process - Protein,:40359883:e8ag5rQeYhYgjn2TptyEB7,ONLY_ONE_SIDE_SYNONYM
VDAC1,Bax expression,Biological process - Protein,:40359883:c28TsvggPy26VVnEmghhBk,ONLY_ONE_SIDE_SYNONYM
VDAC1,Bcl2 upregulation,Biological process - Protein,:40359883:EmnSs9is8TTRQgU9jdehxd,ONLY_ONE_SIDE_SYNONYM
VDAC1,LDH release,Biological process - Protein,:40359883:2Mrda5RM68NtWLpr48McNX,ONLY_ONE_SIDE_SYNONYM
VDAC1,cytotoxicity,Phenotype - Protein,:40359883:6qSn5yenKTNz3M9PbHpgJn,ONLY_ONE_SIDE_SYNONYM
VDAC1,intracellular ROS levels,Biological process - Protein,:40359883:ijfQMCrFXwWT25Xm9hEsRd,ONLY_ONE_SIDE_SYNONYM
VDAC1,oxidative stress,Biological process - Protein,:40359883:5L8wNMujaaUKmyfKBGVke6,NO_ID
VDAC1,autophagy,Biological process - Protein,:40359883:BAND7u5p4tHErx8MzdWQ5R,NO_ID
VDAC1,atrophy,Phenotype - Protein,:40359883:b8g8NuN6mHy9suuHkTXEmb,ONLY_ONE_SIDE_SYNONYM
VDAC1,differentiation,Biological process - Protein,:40359883:W43RrZQorZ3X3sYTWJRz4E,NO_ID
VDAC1,myoblast proliferation,Biological process - Protein,:40359883:gqVHP5LifsxcpV85dUhuWR,NO_ID
VDAC1,myotube atrophy,Phenotype - Protein,:40359883:hfQprnEiHW5iXNAdbv85p8,ONLY_ONE_SIDE_SYNONYM
VDAC1,mitochondrial function,Biological process - Protein,:40359883:5D76mMuKsxDYK57PDCroSk,NO_ID
