relation,x_type,y_type,x_id,y_id,uid,x_preferred_name,y_preferred_name,x_preferred_name_score,y_preferred_name_score
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:1249,:40400011:8cxiHTfHEbuMJ5cudTfhtn,duchenne muscular dystrophy,intellectual disability,1000.0,1000.0
anatomy_protein_present,anatomy,gene/protein,kg4rd:15230,kg4rd:1756,:40368879:KSNJHm4UB6yne29TsVe6b2,dorsal vessel heart,dmd,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:1431,:40366239:52d5FmoktMw9P8H9yRsyEL,duchenne muscular dystrophy,cs,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:10891,:40366239:dTjYpXozNLKxTktedAVDPh,duchenne muscular dystrophy,ppargc1a,1000.0,89.20863309352518
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:4712,:40366239:BDQxqeCKBX66n73PbycL4o,duchenne muscular dystrophy,ndufb6,1000.0,86.31578947368422
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:9067,:40361216:dwbREDNqmUjZWqsbhUKxn2,duchenne muscular dystrophy,progressive spinal muscular atrophy,1000.0,88.13559322033898
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:9780,:40361216:QW9DbX3U4yc8iP2ugNLKfx,duchenne muscular dystrophy,piezo1,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:3287,:40359883:JrogmgpD3XR4BMnqfQWogW,duchenne muscular dystrophy,abnormality of mitochondrial metabolism,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:34392,:40320555:JbxHBTqThzcwWzmP6FS7RU,duchenne muscular dystrophy,joint contracture,93.10344827586206,95.65217391304348
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10311,kg4rd:9025,:40320137:NigH6eg8Pk3Zxtr87s7TXA,becker muscular dystrophy,increased connective tissue,1000.0,92.85714285714286
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10311,kg4rd:2617,:40320137:6FeykKqye65CN3UA8crRgg,becker muscular dystrophy,vascular dilatation,1000.0,87.17948717948718
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:200123,:40275384:23ot3rrAo9aKYyGsQyy2sy,duchenne muscular dystrophy,chronic hepatitis,1000.0,86.95652173913044
bioprocess_protein,biological_process,gene/protein,kg4rd:19222,kg4rd:2099,:40258782:cSVxBWUzHZJ9Qdz9F4UmxV,regulation of metabolic process,esr1,88.88888888888889,92.3076923076923
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:5144,:40217158:8s6o92h784fCTHKyMErkkD,duchenne muscular dystrophy,pde4d,93.10344827586206,86.36363636363636
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:1644,:40203679:B6c2NfrbmQUEti6oQYc5vk,duchenne muscular dystrophy,dilated cardiomyopathy,1000.0,1000.0
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:23411,:40195304:gE7Xu5hLF966xvk6Ez4Xmj,duchenne muscular dystrophy,sirt1,1000.0,1000.0
disease_disease,disease,disease,kg4rd:10679,kg4rd:19056,:40167615:V2iACj39w4LjcSTisUMBDn,duchenne muscular dystrophy,neuromuscular disease,1000.0,1000.0
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:970,:40147446:XoYJuJxXfrmAwTP99VSt2v,duchenne muscular dystrophy,anhidrosis,1000.0,89.47368421052632
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:5162,:40130400:bcs5AMxBDU8duyijLJ2uJG,duchenne muscular dystrophy,abnormal left ventricular function,1000.0,90.19607843137256
disease_disease,disease,disease,kg4rd:10679,kg4rd:20121,:40112439:6bkNMEg8PoH2SaWBVYnWYi,duchenne muscular dystrophy,muscular dystrophy,1000.0,1000.0
