head,rel,tail,in,head_ent,rel_ent,tail_ent,score
27017,4,18863,False,Duchenne muscular dystrophy:disease,off-label use,Ergocalciferol:drug,10.932111740112305
27017,4,20652,False,Duchenne muscular dystrophy:disease,off-label use,Misoprostol:drug,10.717193603515625
27017,4,18995,False,Duchenne muscular dystrophy:disease,off-label use,Clomifene:drug,10.29344654083252
27017,4,23879,False,Duchenne muscular dystrophy:disease,off-label use,Cromoglicic acid:drug,9.968607902526855
27017,3,18863,False,Duchenne muscular dystrophy:disease,indication,Ergocalciferol:drug,9.753504753112793
27017,4,24966,False,Duchenne muscular dystrophy:disease,off-label use,Teriparatide:drug,9.65333366394043
27017,4,20801,False,Duchenne muscular dystrophy:disease,off-label use,Tromethamine:drug,9.566884994506836
27017,4,21168,False,Duchenne muscular dystrophy:disease,off-label use,Tranexamic acid:drug,9.53966999053955
27017,4,20832,False,Duchenne muscular dystrophy:disease,off-label use,Citric acid:drug,9.413537979125977
27017,3,24966,False,Duchenne muscular dystrophy:disease,indication,Teriparatide:drug,9.38414192199707
27017,3,20649,False,Duchenne muscular dystrophy:disease,indication,Serine:drug,9.239601135253906
27017,4,20649,False,Duchenne muscular dystrophy:disease,off-label use,Serine:drug,9.234067916870117
27017,3,19155,False,Duchenne muscular dystrophy:disease,indication,Riboflavin:drug,9.105138778686523
27017,4,18901,False,Duchenne muscular dystrophy:disease,off-label use,Glycine:drug,9.091373443603516
27017,3,20652,False,Duchenne muscular dystrophy:disease,indication,Misoprostol:drug,8.979377746582031
27017,3,18995,False,Duchenne muscular dystrophy:disease,indication,Clomifene:drug,8.75839614868164
27017,3,21168,False,Duchenne muscular dystrophy:disease,indication,Tranexamic acid:drug,8.72939395904541
27017,4,19856,False,Duchenne muscular dystrophy:disease,off-label use,Maraviroc:drug,8.721364974975586
27017,4,21517,False,Duchenne muscular dystrophy:disease,off-label use,Apraclonidine:drug,8.6834716796875
27017,3,18328,False,Duchenne muscular dystrophy:disease,indication,Ascorbic acid:drug,8.666695594787598
27017,3,20801,False,Duchenne muscular dystrophy:disease,indication,Tromethamine:drug,8.66379165649414
27017,4,26195,False,Duchenne muscular dystrophy:disease,off-label use,Sulfacetamide:drug,8.654126167297363
27017,4,22116,False,Duchenne muscular dystrophy:disease,off-label use,Miglustat:drug,8.625996589660645
27017,4,18625,False,Duchenne muscular dystrophy:disease,off-label use,Acetylcysteine:drug,8.601949691772461
27017,4,19155,False,Duchenne muscular dystrophy:disease,off-label use,Riboflavin:drug,8.568666458129883
27017,4,18532,False,Duchenne muscular dystrophy:disease,off-label use,Orlistat:drug,8.546149253845215
27017,4,18453,False,Duchenne muscular dystrophy:disease,off-label use,Olopatadine:drug,8.49402904510498
27017,4,18328,False,Duchenne muscular dystrophy:disease,off-label use,Ascorbic acid:drug,8.467982292175293
27017,3,19231,False,Duchenne muscular dystrophy:disease,indication,Nitrofural:drug,8.450986862182617
27017,4,23060,False,Duchenne muscular dystrophy:disease,off-label use,Calcium chloride:drug,8.439861297607422
27017,4,20656,False,Duchenne muscular dystrophy:disease,off-label use,Dinoprost:drug,8.392943382263184
27017,4,20976,False,Duchenne muscular dystrophy:disease,off-label use,Nandrolone:drug,8.374507904052734
27017,4,19182,False,Duchenne muscular dystrophy:disease,off-label use,Neostigmine:drug,8.368431091308594
27017,4,18472,False,Duchenne muscular dystrophy:disease,off-label use,Cysteamine:drug,8.36658763885498
27017,3,20832,False,Duchenne muscular dystrophy:disease,indication,Citric acid:drug,8.355344772338867
27017,4,19743,False,Duchenne muscular dystrophy:disease,off-label use,Histamine:drug,8.323127746582031
27017,3,26195,False,Duchenne muscular dystrophy:disease,indication,Sulfacetamide:drug,8.304548263549805
27017,3,18953,False,Duchenne muscular dystrophy:disease,indication,Methionine:drug,8.271124839782715
27017,4,20471,False,Duchenne muscular dystrophy:disease,off-label use,Bethanechol:drug,8.226214408874512
27017,4,19231,False,Duchenne muscular dystrophy:disease,off-label use,Nitrofural:drug,8.221786499023438
27017,4,20244,False,Duchenne muscular dystrophy:disease,off-label use,Arginine:drug,8.220772743225098
27017,4,26265,False,Duchenne muscular dystrophy:disease,off-label use,Carboprost:drug,8.19633960723877
27017,4,26334,False,Duchenne muscular dystrophy:disease,off-label use,Silver sulfadiazine:drug,8.158466339111328
27017,4,18454,False,Duchenne muscular dystrophy:disease,off-label use,Alprostadil:drug,8.156783103942871
27017,3,26226,False,Duchenne muscular dystrophy:disease,indication,Trolnitrate:drug,8.099510192871094
27017,3,20976,False,Duchenne muscular dystrophy:disease,indication,Nandrolone:drug,8.05525016784668
27017,3,19743,False,Duchenne muscular dystrophy:disease,indication,Histamine:drug,8.038656234741211
27017,4,18481,False,Duchenne muscular dystrophy:disease,off-label use,Emtricitabine:drug,7.985779285430908
27017,3,20828,False,Duchenne muscular dystrophy:disease,indication,Ferrous fumarate:drug,7.925410747528076
27017,4,26166,False,Duchenne muscular dystrophy:disease,off-label use,Aminobenzoic acid:drug,7.90857458114624
