head,rel,tail,score,in,head_ent,rel_ent,tail_ent,tail_id,tail_source
27017,3,18472,8.21859359741211,False,Duchenne muscular dystrophy:disease,indication,Cysteamine:drug,kg4rd:DB00847,DrugBank
27017,3,19098,6.474194049835205,False,Duchenne muscular dystrophy:disease,indication,Biotin:drug,kg4rd:DB00121,DrugBank
27017,3,18355,6.309643745422363,False,Duchenne muscular dystrophy:disease,indication,Valproic acid:drug,kg4rd:DB00313,DrugBank
27017,3,19108,6.177823066711426,False,Duchenne muscular dystrophy:disease,indication,Paclitaxel:drug,kg4rd:DB01229,DrugBank
27017,3,19274,6.1319756507873535,False,Duchenne muscular dystrophy:disease,indication,Carbamazepine:drug,kg4rd:DB00564,DrugBank
27017,3,26460,6.128011703491211,False,Duchenne muscular dystrophy:disease,indication,Cepharanthine:drug,kg4rd:DB16824,DrugBank
27017,3,18995,5.784952640533447,False,Duchenne muscular dystrophy:disease,indication,Clomifene:drug,kg4rd:DB00882,DrugBank
27017,3,19792,5.683008193969727,False,Duchenne muscular dystrophy:disease,indication,Acetazolamide:drug,kg4rd:DB00819,DrugBank
27017,3,19587,5.668889045715332,False,Duchenne muscular dystrophy:disease,indication,Zavegepant:drug,kg4rd:DB15688,DrugBank
27017,3,19272,5.618978500366211,False,Duchenne muscular dystrophy:disease,indication,Cyclophosphamide:drug,kg4rd:DB00531,DrugBank
27017,3,18388,5.603194236755371,False,Duchenne muscular dystrophy:disease,indication,Fluoxetine:drug,kg4rd:DB00472,DrugBank
27017,3,18845,5.592711925506592,False,Duchenne muscular dystrophy:disease,indication,Bupropion:drug,kg4rd:DB01156,DrugBank
27017,3,18345,5.584395408630371,False,Duchenne muscular dystrophy:disease,indication,Topiramate:drug,kg4rd:DB00273,DrugBank
27017,3,19313,5.55950927734375,False,Duchenne muscular dystrophy:disease,indication,Paliperidone:drug,kg4rd:DB01267,DrugBank
27017,3,19439,5.559320449829102,False,Duchenne muscular dystrophy:disease,indication,Paroxetine:drug,kg4rd:DB00715,DrugBank
27017,3,26319,5.558362007141113,False,Duchenne muscular dystrophy:disease,indication,Natamycin:drug,kg4rd:DB00826,DrugBank
27017,3,18405,5.487278938293457,False,Duchenne muscular dystrophy:disease,indication,Fluorouracil:drug,kg4rd:DB00544,DrugBank
27017,3,19305,5.476916790008545,False,Duchenne muscular dystrophy:disease,indication,Phenobarbital:drug,kg4rd:DB01174,DrugBank
27017,3,19236,5.467968940734863,False,Duchenne muscular dystrophy:disease,indication,Procarbazine:drug,kg4rd:DB01168,DrugBank
27017,3,19152,5.455909729003906,False,Duchenne muscular dystrophy:disease,indication,Amantadine:drug,kg4rd:DB00915,DrugBank
27017,3,20111,5.447582721710205,False,Duchenne muscular dystrophy:disease,indication,Vigabatrin:drug,kg4rd:DB01080,DrugBank
27017,3,18341,5.423158645629883,False,Duchenne muscular dystrophy:disease,indication,Phenytoin:drug,kg4rd:DB00252,DrugBank
27017,3,18459,5.408242225646973,False,Duchenne muscular dystrophy:disease,indication,Acyclovir:drug,kg4rd:DB00787,DrugBank
27017,3,18426,5.390866756439209,False,Duchenne muscular dystrophy:disease,indication,Efavirenz:drug,kg4rd:DB00625,DrugBank
27017,3,26484,5.386328220367432,False,Duchenne muscular dystrophy:disease,indication,Olipudase alfa:drug,kg4rd:DB12835,DrugBank
27017,3,19202,5.355453968048096,False,Duchenne muscular dystrophy:disease,indication,Citalopram:drug,kg4rd:DB00215,DrugBank
27017,3,18369,5.334104061126709,False,Duchenne muscular dystrophy:disease,indication,Clozapine:drug,kg4rd:DB00363,DrugBank
27017,3,18407,5.307651519775391,False,Duchenne muscular dystrophy:disease,indication,Lamotrigine:drug,kg4rd:DB00555,DrugBank
27017,3,21515,5.291598320007324,False,Duchenne muscular dystrophy:disease,indication,Pramipexole:drug,kg4rd:DB00413,DrugBank
27017,3,18537,5.288758277893066,False,Duchenne muscular dystrophy:disease,indication,Sertraline:drug,kg4rd:DB01104,DrugBank
27017,3,20598,5.287222385406494,False,Duchenne muscular dystrophy:disease,indication,Aminolevulinic acid:drug,kg4rd:DB00855,DrugBank
27017,3,19412,5.278160095214844,False,Duchenne muscular dystrophy:disease,indication,Venlafaxine:drug,kg4rd:DB00285,DrugBank
27017,3,19405,5.26846170425415,False,Duchenne muscular dystrophy:disease,indication,Tramadol:drug,kg4rd:DB00193,DrugBank
27017,3,18457,5.227642059326172,False,Duchenne muscular dystrophy:disease,indication,Estradiol:drug,kg4rd:DB00783,DrugBank
27017,3,18722,5.227100372314453,False,Duchenne muscular dystrophy:disease,indication,Niraparib:drug,kg4rd:DB11793,DrugBank
