relation,x_type,y_type,x_id,y_id
disease_phenotype_positive,disease,effect/phenotype,10679,3693
indication,drug,disease,18669,10281
drug_effect,drug,effect/phenotype,6014,12735
disease_phenotype_positive,disease,effect/phenotype,10679,3202
indication,drug,disease,17048,2251
disease_phenotype_positive,disease,effect/phenotype,10383,717
disease_phenotype_positive,disease,effect/phenotype,10679,3693
disease_phenotype_positive,disease,effect/phenotype,10679,5162
disease_phenotype_positive,disease,effect/phenotype,10679,6532
disease_protein,disease,gene/protein,10679,9759
disease_phenotype_positive,disease,effect/phenotype,9130,2093
drug_protein,drug,gene/protein,12645,3065
anatomy_protein_present,anatomy,gene/protein,2036,1756
disease_phenotype_positive,disease,effect/phenotype,15128,11106
disease_protein,disease,gene/protein,10679,30061
disease_phenotype_positive,disease,effect/phenotype,10679,1685
disease_phenotype_positive,disease,effect/phenotype,10679,3712
disease_phenotype_positive,disease,effect/phenotype,10679,5162
disease_protein,disease,gene/protein,19079,6607
disease_protein,disease,gene/protein,10679,8767
disease_protein,disease,gene/protein,10679,8425
disease_phenotype_positive,disease,effect/phenotype,10679,9113
disease_protein,disease,gene/protein,8054,9636
bioprocess_protein,biological_process,gene/protein,7005,133522
disease_phenotype_positive,disease,effect/phenotype,10679,5162
disease_phenotype_positive,disease,effect/phenotype,10679,750
disease_protein,disease,gene/protein,10311,1756
disease_protein,disease,gene/protein,9047,8287
disease_phenotype_positive,disease,effect/phenotype,10679,30692
disease_phenotype_positive,disease,effect/phenotype,10679,8981
disease_phenotype_positive,disease,effect/phenotype,10679,2791
indication,drug,disease,15114,10679
bioprocess_protein,biological_process,gene/protein,45445,283120
disease_phenotype_positive,disease,effect/phenotype,10679,708
phenotype_phenotype,effect/phenotype,effect/phenotype,2153,1663
disease_protein,disease,gene/protein,20121,1756
disease_phenotype_positive,disease,effect/phenotype,10679,34314
disease_phenotype_positive,disease,effect/phenotype,20121,1638
anatomy_protein_present,anatomy,gene/protein,1388,1756
disease_phenotype_positive,disease,effect/phenotype,10679,32263
disease_protein,disease,gene/protein,10679,652
anatomy_protein_present,anatomy,gene/protein,1388,1756
disease_protein,disease,gene/protein,10679,10725
disease_phenotype_positive,disease,effect/phenotype,10679,608
drug_effect,drug,effect/phenotype,11921,2650
disease_phenotype_positive,disease,effect/phenotype,10679,717
disease_phenotype_positive,disease,effect/phenotype,10679,2014
disease_phenotype_positive,disease,effect/phenotype,10679,3202
disease_phenotype_positive,disease,effect/phenotype,19079,25406
disease_phenotype_positive,disease,effect/phenotype,10679,8981
exposure_bioprocess,,biological_process,C045021,42246
disease_protein,disease,gene/protein,10679,1462
exposure_protein,,gene/protein,D008775,1462
exposure_protein,,gene/protein,C542291,5696
phenotype_protein,effect/phenotype,gene/protein,11969,5741
drug_effect,drug,effect/phenotype,563,1324
bioprocess_protein,biological_process,gene/protein,45445,4209
disease_protein,disease,gene/protein,10679,1756
disease_phenotype_positive,disease,effect/phenotype,10311,1653
disease_protein,disease,gene/protein,10679,387
bioprocess_protein,biological_process,gene/protein,16236,50650
disease_phenotype_positive,disease,effect/phenotype,10679,25149
disease_phenotype_positive,disease,effect/phenotype,10679,8151
indication,drug,disease,1268,2081
drug_protein,drug,gene/protein,737,4642
disease_phenotype_positive,disease,effect/phenotype,10679,722
disease_protein,disease,gene/protein,10679,4654
disease_protein,disease,gene/protein,9681,1291
disease_phenotype_positive,disease,effect/phenotype,10679,3287
disease_phenotype_positive,disease,effect/phenotype,10311,1324
drug_protein,drug,gene/protein,16862,23411
disease_phenotype_positive,disease,effect/phenotype,19079,9067
drug_effect,drug,effect/phenotype,1238,738
disease_protein,disease,gene/protein,10679,55869
bioprocess_protein,biological_process,gene/protein,45677,3976
disease_protein,disease,gene/protein,20121,1462
phenotype_protein,effect/phenotype,gene/protein,1324,56704
indication,drug,disease,11094,10679
exposure_bioprocess,,biological_process,D000409,40007
disease_phenotype_positive,disease,effect/phenotype,10679,100614
indication,drug,disease,16802,10679
disease_protein,disease,gene/protein,10679,1277
disease_phenotype_positive,disease,effect/phenotype,20123,3546
anatomy_protein_present,anatomy,gene/protein,5090,1029
disease_phenotype_positive,disease,effect/phenotype,16147,716
indication,drug,disease,13161,19079
disease_phenotype_positive,disease,effect/phenotype,16147,2650
disease_phenotype_positive,disease,effect/phenotype,10679,1635
indication,drug,disease,16802,10679
disease_phenotype_positive,disease,effect/phenotype,10679,3774
anatomy_protein_present,anatomy,gene/protein,14895,7402
disease_protein,disease,gene/protein,16147,1756
disease_protein,disease,gene/protein,10679,10891
disease_phenotype_positive,disease,effect/phenotype,10679,4395
disease_phenotype_positive,disease,effect/phenotype,10679,1644
disease_phenotype_positive,disease,effect/phenotype,10679,34314
disease_protein,disease,gene/protein,10679,100507463
disease_phenotype_positive,disease,effect/phenotype,10679,9067
disease_protein,disease,gene/protein,10679,4842
disease_phenotype_positive,disease,effect/phenotype,20121,9067
disease_phenotype_positive,disease,effect/phenotype,10679,1249
disease_phenotype_positive,disease,effect/phenotype,10679,10536
disease_phenotype_positive,disease,effect/phenotype,10679,34677
disease_phenotype_positive,disease,effect/phenotype,10679,8112
indication,drug,disease,8908,5083
disease_protein,disease,gene/protein,9047,347527
disease_protein,disease,gene/protein,10679,1152
phenotype_phenotype,effect/phenotype,effect/phenotype,9113,2791
bioprocess_protein,biological_process,gene/protein,30432,1756
phenotype_protein,effect/phenotype,gene/protein,7269,57585
disease_protein,disease,gene/protein,10679,3479
disease_phenotype_positive,disease,effect/phenotype,10679,77
disease_disease,disease,disease,10679,816
disease_protein,disease,gene/protein,7100,7276
drug_effect,drug,effect/phenotype,6014,2014
disease_phenotype_positive,disease,effect/phenotype,16147,1249
disease_protein,disease,gene/protein,10311,4015
indication,drug,disease,15726,10679
phenotype_protein,effect/phenotype,gene/protein,2097,8425
indication,drug,disease,4652,10679
indication,drug,disease,630,10679
disease_phenotype_positive,disease,effect/phenotype,10679,3287
disease_phenotype_positive,disease,effect/phenotype,10679,33428
drug_effect,drug,effect/phenotype,331,3128
disease_phenotype_positive,disease,effect/phenotype,10679,2088
anatomy_protein_present,anatomy,gene/protein,14895,1756
disease_phenotype_positive,disease,effect/phenotype,10679,1249
disease_phenotype_positive,disease,effect/phenotype,10679,100295
disease_protein,disease,gene/protein,20121,6442
indication,drug,disease,635,10679
bioprocess_protein,biological_process,gene/protein,45214,51132
bioprocess_protein,biological_process,gene/protein,3009,361
bioprocess_protein,biological_process,gene/protein,1905877,8204
disease_phenotype_positive,disease,effect/phenotype,10679,708
disease_phenotype_positive,disease,effect/phenotype,10679,2093
disease_phenotype_positive,disease,effect/phenotype,10679,3552
disease_phenotype_positive,disease,effect/phenotype,10679,722
bioprocess_protein,biological_process,gene/protein,31099,1756
disease_phenotype_positive,disease,effect/phenotype,10679,2091
disease_phenotype_positive,disease,effect/phenotype,10679,9067
disease_phenotype_positive,disease,effect/phenotype,1347,2597
disease_protein,disease,gene/protein,20121,2218
drug_effect,drug,effect/phenotype,6014,988
disease_phenotype_positive,disease,effect/phenotype,10679,9067
disease_protein,disease,gene/protein,10679,1756
disease_phenotype_positive,disease,effect/phenotype,16147,722
indication,drug,disease,860,10679
bioprocess_protein,biological_process,gene/protein,45214,8736
drug_effect,drug,effect/phenotype,1118,83
contraindication,drug,disease,16802,700051
disease_protein,disease,gene/protein,10679,7298
drug_protein,drug,gene/protein,737,4619
drug_effect,drug,effect/phenotype,15258,3202
drug_effect,drug,effect/phenotype,1238,746
anatomy_protein_present,anatomy,gene/protein,14895,3908
anatomy_protein_present,anatomy,gene/protein,1385,1756
disease_protein,disease,gene/protein,10679,10891
disease_disease,disease,disease,10679,18945
anatomy_protein_present,anatomy,gene/protein,14895,8518
disease_phenotype_positive,disease,effect/phenotype,10679,1638
phenotype_phenotype,effect/phenotype,effect/phenotype,6532,32341
phenotype_protein,effect/phenotype,gene/protein,1635,1756
disease_phenotype_positive,disease,effect/phenotype,10679,12337
bioprocess_protein,biological_process,gene/protein,6954,3146
indication,drug,disease,2565,10679
disease_phenotype_positive,disease,effect/phenotype,10679,200123
disease_phenotype_positive,disease,effect/phenotype,10679,3199
disease_phenotype_positive,disease,effect/phenotype,10311,1644
cellcomp_protein,cellular_component,gene/protein,5737,1605
bioprocess_protein,biological_process,gene/protein,7005,133522
bioprocess_protein,biological_process,gene/protein,42692,9869
disease_protein,disease,gene/protein,10679,7135
indication,drug,disease,6014,10679
disease_phenotype_positive,disease,effect/phenotype,10679,1627
disease_protein,disease,gene/protein,4992,1756
disease_protein,disease,gene/protein,10679,9181
disease_protein,disease,gene/protein,10679,1281
disease_protein,disease,gene/protein,10679,171019
disease_phenotype_positive,disease,effect/phenotype,10679,2877
indication,drug,disease,4997,10679
indication,drug,disease,91,19810
indication,drug,disease,6014,10679
disease_phenotype_positive,disease,effect/phenotype,10679,3202
disease_phenotype_positive,disease,effect/phenotype,10679,12332
disease_phenotype_positive,disease,effect/phenotype,1010441,3287
indication,drug,disease,19433,10679
disease_protein,disease,gene/protein,10679,4621
disease_phenotype_positive,disease,effect/phenotype,10679,1263
exposure_bioprocess,,biological_process,D000409,40007
drug_effect,drug,effect/phenotype,860,1510
indication,drug,disease,15528,19079
disease_phenotype_positive,disease,effect/phenotype,10679,200123
disease_protein,disease,gene/protein,20121,3908
drug_protein,drug,gene/protein,12888,196
phenotype_protein,effect/phenotype,gene/protein,365,5456
disease_phenotype_positive,disease,effect/phenotype,10679,718
exposure_bioprocess,,biological_process,C542291,2456
disease_protein,disease,gene/protein,1010441,10413
disease_phenotype_positive,disease,effect/phenotype,10679,855
indication,drug,disease,985,10679
disease_protein,disease,gene/protein,10679,4632
phenotype_protein,effect/phenotype,gene/protein,2505,8425
disease_phenotype_positive,disease,effect/phenotype,10679,2172
exposure_bioprocess,,biological_process,D001621,48468
indication,drug,disease,11094,5298
indication,drug,disease,630,757
disease_phenotype_positive,disease,effect/phenotype,10679,5200283
phenotype_protein,effect/phenotype,gene/protein,100543,1756
indication,drug,disease,635,4994
disease_phenotype_positive,disease,effect/phenotype,10679,32654
disease_phenotype_positive,disease,effect/phenotype,10679,1644
phenotype_protein,effect/phenotype,gene/protein,1582,8425
indication,drug,disease,1265,10679
disease_protein,disease,gene/protein,10679,81631
disease_phenotype_positive,disease,effect/phenotype,43797,2747
disease_phenotype_positive,disease,effect/phenotype,10679,2354
indication,drug,disease,230,10679
disease_disease,disease,disease,10679,5249
disease_protein,disease,gene/protein,10311,1756
disease_disease,disease,disease,10311,16147
indication,drug,disease,9081,10679
disease_disease,disease,disease,10679,19079
indication,drug,disease,9081,10679
disease_protein,disease,gene/protein,10679,6938
off-label use,drug,disease,746,10679
disease_protein,disease,gene/protein,10679,664
disease_protein,disease,gene/protein,20121,859
disease_disease,disease,disease,24530,14086
disease_phenotype_positive,disease,effect/phenotype,10679,3678
disease_phenotype_positive,disease,effect/phenotype,10679,12649
drug_protein,drug,gene/protein,1265,4656
indication,drug,disease,16862,2614
anatomy_protein_present,anatomy,gene/protein,1103,1756
disease_phenotype_positive,disease,effect/phenotype,10679,1249
disease_protein,disease,gene/protein,10679,719
disease_protein,disease,gene/protein,10679,100131564
disease_phenotype_positive,disease,effect/phenotype,10679,924
disease_protein,disease,gene/protein,10311,1756
disease_protein,disease,gene/protein,10679,5341
disease_phenotype_positive,disease,effect/phenotype,10679,2180
anatomy_protein_absent,anatomy,gene/protein,5090,1756
disease_phenotype_positive,disease,effect/phenotype,10311,2153
disease_protein,disease,gene/protein,10679,4907
disease_phenotype_positive,disease,effect/phenotype,10311,1644
disease_phenotype_positive,disease,effect/phenotype,10679,5162
disease_protein,disease,gene/protein,10679,83988
disease_phenotype_positive,disease,effect/phenotype,10679,2747
indication,drug,disease,15083,10679
disease_phenotype_positive,disease,effect/phenotype,10679,2747
disease_protein,disease,gene/protein,10679,715
disease_phenotype_positive,disease,effect/phenotype,10679,3677
disease_protein,disease,gene/protein,4994,1756
disease_disease,disease,disease,5298,10679
disease_phenotype_positive,disease,effect/phenotype,10679,551
disease_protein,disease,gene/protein,10679,79969
disease_phenotype_positive,disease,effect/phenotype,10311,3701
off-label use,drug,disease,11620,10679
indication,drug,disease,1373,10679
disease_phenotype_positive,disease,effect/phenotype,10679,2540
anatomy_protein_present,anatomy,gene/protein,14895,1756
disease_protein,disease,gene/protein,10679,205
anatomy_protein_present,anatomy,gene/protein,15230,494327
exposure_protein,,gene/protein,D006997,4353
disease_phenotype_positive,disease,effect/phenotype,10679,5162
indication,drug,disease,635,10679
disease_phenotype_positive,disease,effect/phenotype,10679,45082
disease_phenotype_positive,disease,effect/phenotype,10311,3677
disease_phenotype_positive,disease,effect/phenotype,10311,100543
indication,drug,disease,12645,10679
bioprocess_protein,biological_process,gene/protein,7005,10891
disease_protein,disease,gene/protein,10311,4656
cellcomp_protein,cellular_component,gene/protein,5739,118490
indication,drug,disease,9083,4994
drug_protein,drug,gene/protein,421,2335
molfunc_protein,molecular_function,gene/protein,19677,952
disease_protein,disease,gene/protein,10679,51191
disease_protein,disease,gene/protein,10679,51284
disease_protein,disease,gene/protein,10679,4976
disease_protein,disease,gene/protein,10311,7058
disease_protein,disease,gene/protein,10679,664
indication,drug,disease,12645,10679
drug_protein,drug,gene/protein,9081,2936
disease_phenotype_positive,disease,effect/phenotype,10679,649
drug_drug,drug,drug,9081,5016
disease_protein,disease,gene/protein,171,79147
bioprocess_protein,biological_process,gene/protein,55074,1756
disease_phenotype_positive,disease,effect/phenotype,10679,2515
disease_phenotype_positive,disease,effect/phenotype,10679,2360
indication,drug,disease,11921,10679
disease_phenotype_positive,disease,effect/phenotype,10679,2615
disease_protein,disease,gene/protein,20121,1180
bioprocess_protein,biological_process,gene/protein,6954,6387
disease_protein,disease,gene/protein,10679,3113
disease_protein,disease,gene/protein,10679,7305
off-label use,drug,disease,331,10311
disease_phenotype_positive,disease,effect/phenotype,10679,1638
disease_disease,disease,disease,10679,7147
disease_phenotype_positive,disease,effect/phenotype,20121,11024
indication,drug,disease,15258,10679
disease_phenotype_positive,disease,effect/phenotype,10679,739
disease_protein,disease,gene/protein,10679,2533
disease_phenotype_positive,disease,effect/phenotype,10311,9067
disease_protein,disease,gene/protein,10679,1270
disease_phenotype_positive,disease,effect/phenotype,10679,34392
disease_phenotype_positive,disease,effect/phenotype,10679,34392
disease_protein,disease,gene/protein,10679,2162
drug_effect,drug,effect/phenotype,11921,2505
disease_phenotype_positive,disease,effect/phenotype,10311,3236
drug_protein,drug,gene/protein,4997,3676
disease_phenotype_positive,disease,effect/phenotype,16899,1324
disease_phenotype_positive,disease,effect/phenotype,10679,2953
disease_phenotype_positive,disease,effect/phenotype,10679,1263
disease_disease,disease,disease,10311,10383
disease_phenotype_positive,disease,effect/phenotype,10679,1263
disease_phenotype_positive,disease,effect/phenotype,10679,25406
disease_phenotype_positive,disease,effect/phenotype,10155,1249
disease_phenotype_positive,disease,effect/phenotype,10679,708
disease_phenotype_positive,disease,effect/phenotype,10679,1288
indication,drug,disease,18884,10679
disease_phenotype_positive,disease,effect/phenotype,18881,1507
