relation,x_type,y_type,x_id,y_id
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:969
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10399,kg4rd:8244
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:8864
disease_protein,disease,gene/protein,kg4rd:10311,kg4rd:2006
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:1635
disease_protein,disease,gene/protein,kg4rd:10311,kg4rd:1289
anatomy_protein_absent,anatomy,gene/protein,kg4rd:2354,kg4rd:1756
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:4395
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:25406
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10651,kg4rd:2747
disease_protein,disease,gene/protein,kg4rd:11486,kg4rd:79147
pathway_protein,pathway,gene/protein,kg4rd:R-HSA-75893,kg4rd:4086
disease_disease,disease,disease,kg4rd:10311,kg4rd:10383
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:1685
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:2019
disease_disease,disease,disease,kg4rd:10679,kg4rd:5045
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:739
disease_protein,disease,gene/protein,kg4rd:16147,kg4rd:7273
phenotype_protein,effect/phenotype,gene/protein,kg4rd:2505,kg4rd:6696
anatomy_protein_present,anatomy,gene/protein,kg4rd:5090,kg4rd:1756
pathway_protein,pathway,gene/protein,kg4rd:R-HSA-170834,kg4rd:10631
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:7402
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:708
disease_phenotype_positive,disease,effect/phenotype,kg4rd:16971,kg4rd:4950
phenotype_protein,effect/phenotype,gene/protein,kg4rd:10766,kg4rd:6374
phenotype_phenotype,effect/phenotype,effect/phenotype,kg4rd:2153,kg4rd:1695
disease_disease,disease,disease,kg4rd:10679,kg4rd:5027
disease_phenotype_positive,disease,effect/phenotype,kg4rd:10679,kg4rd:7018
disease_phenotype_positive,disease,effect/phenotype,kg4rd:16147,kg4rd:11675
disease_protein,disease,gene/protein,kg4rd:10679,kg4rd:54461
