head,rel,tail,score,in,head_ent,rel_ent,tail_ent,uid,head_id,tail_id
17087,3,41349,73.38910675048828,True,Doxorubicin:drug,indication,mantle cell lymphoma:disease,D020522:35763708:ETTAegavRFqEDVBkUhih2u,kg4rd:DB00997,kg4rd:18876
18086,3,41349,73.34498596191406,False,Nilotinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB04868,kg4rd:18876
17259,3,41349,72.68346405029297,False,Olaparib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB09074,kg4rd:18876
17633,3,41349,71.58836364746094,False,Busulfan:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01008,kg4rd:18876
16992,3,41349,71.0724868774414,False,Methotrexate:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00563,kg4rd:18876
17855,3,41349,70.68643188476562,True,Cyclophosphamide:drug,indication,mantle cell lymphoma:disease,D020522:35763708:gy79ravmvqVTEQEgPWJTcP,kg4rd:DB00531,kg4rd:18876
17553,3,41349,69.67323303222656,False,Aldesleukin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00041,kg4rd:18876
18552,3,41349,69.57954406738281,True,Venetoclax:drug,indication,mantle cell lymphoma:disease,D020522:38906740:oEoNEC2GnewVjEQZP2ScDM,kg4rd:DB11581,kg4rd:18876
18715,3,41349,69.57728576660156,False,Cladribine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00242,kg4rd:18876
20254,3,41349,69.40031433105469,False,Fludarabine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01073,kg4rd:18876
19244,3,41349,69.3709487915039,True,Rituximab:drug,indication,mantle cell lymphoma:disease,D020522:32985902:CtFRAwtTqmHkS63bBYEJLu,kg4rd:DB00073,kg4rd:18876
17904,3,41349,69.254638671875,False,Trastuzumab emtansine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB05773,kg4rd:18876
17611,3,41349,68.52740478515625,False,Gemcitabine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00441,kg4rd:18876
17089,3,41349,68.50422668457031,False,Hydroxyurea:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01005,kg4rd:18876
