head,rel,tail,score,in,head_ent,rel_ent,tail_ent,uid,head_id,tail_id
17087,3,41349,-12.526423454284668,True,Doxorubicin:drug,indication,mantle cell lymphoma:disease,D020522:35763708:ETTAegavRFqEDVBkUhih2u,kg4rd:DB00997,kg4rd:18876
18106,3,41349,-12.863801956176758,False,Panobinostat:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB06603,kg4rd:18876
17496,3,41349,-12.89488410949707,False,Etoposide:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00773,kg4rd:18876
24443,3,41349,-13.024816513061523,True,Bemcentinib:drug,indication,mantle cell lymphoma:disease,D020522:37339584:RBmqN9u4bhpjpepuTDwCrm,kg4rd:DB12411,kg4rd:18876
17856,3,41349,-13.12252426147461,True,Vincristine:drug,indication,mantle cell lymphoma:disease,D020522:35763708:mgpgXHqovhxfw6KGpCscUN,kg4rd:DB00541,kg4rd:18876
23823,3,41349,-13.133916854858398,True,Brexucabtagene autoleucel:drug,indication,mantle cell lymphoma:disease,D020522:37004047:iGVfTzkA7bEaLVfEcgKGgN,kg4rd:DB15699,kg4rd:18876
19244,3,41349,-13.137754440307617,True,Rituximab:drug,indication,mantle cell lymphoma:disease,D020522:32985902:CtFRAwtTqmHkS63bBYEJLu,kg4rd:DB00073,kg4rd:18876
18012,3,41349,-13.27198600769043,False,Vinblastine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB00570,kg4rd:18876
17987,3,41349,-13.282669067382812,True,Bortezomib:drug,indication,mantle cell lymphoma:disease,D020522:35639332:WyX7w5jXsSTpSKNLHPRGFq,kg4rd:DB00188,kg4rd:18876
17693,3,41349,-13.33272933959961,False,Dasatinib:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01254,kg4rd:18876
18497,3,41349,-13.3486967086792,False,Brentuximab vedotin:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB08870,kg4rd:18876
17662,3,41349,-13.354961395263672,False,Mercaptopurine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01033,kg4rd:18876
17612,3,41349,-13.3779878616333,False,Decitabine:drug,indication,mantle cell lymphoma:disease,,kg4rd:DB01262,kg4rd:18876
17255,3,41349,-13.381982803344727,True,Ibrutinib:drug,indication,mantle cell lymphoma:disease,D020522:35266562:Cu8MnwzUWKwEhhBCNKVJMd,kg4rd:DB09053,kg4rd:18876
