head,head_ent,head_id,uid
17087,Doxorubicin:drug,kg4rd:DB00997,D020522:35763708:ETTAegavRFqEDVBkUhih2u
18106,Panobinostat:drug,kg4rd:DB06603,
17496,Etoposide:drug,kg4rd:DB00773,
17856,Vincristine:drug,kg4rd:DB00541,D020522:35763708:mgpgXHqovhxfw6KGpCscUN
19244,Rituximab:drug,kg4rd:DB00073,D020522:32985902:CtFRAwtTqmHkS63bBYEJLu
18012,Vinblastine:drug,kg4rd:DB00570,
17987,Bortezomib:drug,kg4rd:DB00188,D020522:35639332:WyX7w5jXsSTpSKNLHPRGFq
17693,Dasatinib:drug,kg4rd:DB01254,
18497,Brentuximab vedotin:drug,kg4rd:DB08870,
17612,Decitabine:drug,kg4rd:DB01262,
17255,Ibrutinib:drug,kg4rd:DB09053,D020522:35266562:Cu8MnwzUWKwEhhBCNKVJMd
17258,Palbociclib:drug,kg4rd:DB09073,D020522:32861279:BZsLhSVKBxXJPgFwXLjt26
21926,Dactinomycin:drug,kg4rd:DB00970,
17855,Cyclophosphamide:drug,kg4rd:DB00531,D020522:35763708:gy79ravmvqVTEQEgPWJTcP
18569,Selinexor:drug,kg4rd:DB11942,
17929,Idelalisib:drug,kg4rd:DB09054,
18075,Everolimus:drug,kg4rd:DB01590,
18552,Venetoclax:drug,kg4rd:DB11581,D020522:38906740:oEoNEC2GnewVjEQZP2ScDM
17981,Pirtobrutinib:drug,kg4rd:DB17472,
17145,Dexamethasone:drug,kg4rd:DB01234,
23743,Atezolizumab:drug,kg4rd:DB11595,D008258:35045765:Ghuk84zRbR4vUf5BtjRXqY
17637,Chlorambucil:drug,kg4rd:DB00291,
17611,Gemcitabine:drug,kg4rd:DB00441,
18000,Vinorelbine:drug,kg4rd:DB00361,
18086,Nilotinib:drug,kg4rd:DB04868,
16983,Cisplatin:drug,kg4rd:DB00515,
17691,Paclitaxel:drug,kg4rd:DB01229,
17089,Hydroxyurea:drug,kg4rd:DB01005,
23287,Carfilzomib:drug,kg4rd:DB08889,
19985,Lenalidomide:drug,kg4rd:DB00480,D020522:38906740:jD9rZgcU3H6YkM9AmXDoYA
17458,Nelarabine:drug,kg4rd:DB01280,
17752,Mechlorethamine:drug,kg4rd:DB00888,
17679,Cytarabine:drug,kg4rd:DB00987,D020522:37357622:mjaZpXt3QntSF8faK6nCBF
18442,Ixabepilone:drug,kg4rd:DB04845,
18327,Azacitidine:drug,kg4rd:DB00928,
17318,Abemaciclib:drug,kg4rd:DB12001,
19248,Obinutuzumab:drug,kg4rd:DB08935,D020522:38669626:MuA8qVqnESVsFW6rxGEqD4
18654,Zanubrutinib:drug,kg4rd:DB15035,D020522:35303070:NSXJuyGWp6G4f67zPAt2q7
17062,Sirolimus:drug,kg4rd:DB00877,
18716,Clofarabine:drug,kg4rd:DB00631,
17259,Olaparib:drug,kg4rd:DB09074,
22974,Talazoparib:drug,kg4rd:DB11760,D020522:40009753:QPLRicbqHMXhZenUwHG475
17633,Busulfan:drug,kg4rd:DB01008,
16992,Methotrexate:drug,kg4rd:DB00563,
17136,Arsenic trioxide:drug,kg4rd:DB01169,
17692,Docetaxel:drug,kg4rd:DB01248,
17846,Sorafenib:drug,kg4rd:DB00398,
17310,Neratinib:drug,kg4rd:DB11828,
17642,Trastuzumab deruxtecan:drug,kg4rd:DB14962,
18476,Bosutinib:drug,kg4rd:DB06616,
