head,rel,tail,score,in,head_ent,rel_ent,tail_ent,tail_id,tail_source
32149,3,20579,1.3480844497680664,True,Duchenne muscular dystrophy:disease,indication,Eteplirsen:drug,DB06014,DrugBank
32149,3,14258,0.036916255950927734,False,Duchenne muscular dystrophy:disease,indication,Quinidine:drug,DB00908,DrugBank
32149,3,15093,-0.0035643577575683594,False,Duchenne muscular dystrophy:disease,indication,Clozapine:drug,DB00363,DrugBank
32149,3,14979,-0.011295795440673828,False,Duchenne muscular dystrophy:disease,indication,Zonisamide:drug,DB00909,DrugBank
32149,3,14956,-0.014725685119628906,False,Duchenne muscular dystrophy:disease,indication,Carbamazepine:drug,DB00564,DrugBank
32149,3,14178,-0.015101909637451172,False,Duchenne muscular dystrophy:disease,indication,Chlorpromazine:drug,DB00477,DrugBank
32149,3,14323,-0.01799488067626953,False,Duchenne muscular dystrophy:disease,indication,Aripiprazole:drug,DB01238,DrugBank
32149,3,14934,-0.021633148193359375,False,Duchenne muscular dystrophy:disease,indication,Cyclosporine:drug,DB00091,DrugBank
32149,3,14192,-0.024393558502197266,False,Duchenne muscular dystrophy:disease,indication,Lamotrigine:drug,DB00555,DrugBank
32149,3,14141,-0.030329227447509766,False,Duchenne muscular dystrophy:disease,indication,Phenytoin:drug,DB00252,DrugBank
32149,3,14156,-0.06129264831542969,False,Duchenne muscular dystrophy:disease,indication,Amitriptyline:drug,DB00321,DrugBank
32149,3,14952,-0.07095813751220703,False,Duchenne muscular dystrophy:disease,indication,Haloperidol:drug,DB00502,DrugBank
32149,3,14176,-0.07786321640014648,False,Duchenne muscular dystrophy:disease,indication,Fluoxetine:drug,DB00472,DrugBank
32149,3,14310,-0.0792989730834961,False,Duchenne muscular dystrophy:disease,indication,Doxepin:drug,DB01142,DrugBank
32149,3,14276,-0.08410072326660156,False,Duchenne muscular dystrophy:disease,indication,Hydrochlorothiazide:drug,DB00999,DrugBank
32149,3,15116,-0.09285259246826172,False,Duchenne muscular dystrophy:disease,indication,Paroxetine:drug,DB00715,DrugBank
32149,3,14173,-0.09459781646728516,False,Duchenne muscular dystrophy:disease,indication,Imipramine:drug,DB00458,DrugBank
32149,3,14153,-0.09957695007324219,False,Duchenne muscular dystrophy:disease,indication,Valproic acid:drug,DB00313,DrugBank
32149,3,14993,-0.10060691833496094,False,Duchenne muscular dystrophy:disease,indication,Phenobarbital:drug,DB01174,DrugBank
